Comment,Designator,Footprint,LCSC,Quantity
mill-max-3305-0-15-01-47-XX-10-0,"J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J4,J40,J41,J42,J43,J44,J45,J46,J47,J48,J49,J5,J50,J51,J52,J53,J54,J55,J56,J57,J58,J59,J6,J7,J8,J9",mill-max-3305-0-15-01-47-XX-10-0,C17370797,56
,SW1,power_switch,C221841,1
HDR-TH_7P-P2.54-V-F_MF254V-11-07-0743,"J60,J61",HDR-TH_7P-P2.54-V-F_MF254V-11-07-0743,C2889988,2
UMP1NTR,"D3,D4,D5,D6,D7,D8,D9",SOT-353_L2.1-W1.3-P0.65-LS2.3-BL,C510065,7
0906-2-15-20-75-14-11-0,"J1,J2,J3",0906-2-15-20-75-14-11-0,C5261048,3
CONN-TH_MY-LR44-03-J,BAT1,CONN-TH_MY-LR44-03-J,C5457116,1
